species,replicate,conc,time,total,effect,initial,time
BHC,1,0,3,10,0,10,5/16/2016
BHC,1,0,6,10,0,10,5/16/2016
BHC,1,0,12,10,0,10,5/17/2016
BHC,1,0,24,10,0,10,5/17/2016
BHC,1,0,48,10,0,10,5/18/2016
BHC,1,0,72,10,0,10,5/18/2016
BHC,1,0,96,10,0,10,5/19/2016
BHC,1,50.61,3,10,0,10,5/19/2016
BHC,1,50.61,6,10,0,10,5/20/2016
BHC,1,50.61,12,10,0,10,5/20/2016
BHC,1,50.61,24,10,0,10,5/21/2016
BHC,1,50.61,48,10,0,10,5/21/2016
BHC,1,50.61,72,10,0,10,5/22/2016
BHC,1,50.61,96,10,0,10,5/22/2016
BHC,1,253.3,3,10,0,10,5/23/2016
BHC,1,253.3,6,10,0,10,5/23/2016
BHC,1,253.3,12,10,0,10,5/24/2016
BHC,1,253.3,24,10,3,10,5/24/2016
BHC,1,253.3,48,10,8,10,5/25/2016
BHC,1,253.3,72,10,8,10,5/25/2016
BHC,1,253.3,96,10,9,10,5/26/2016
BHC,1,505.7,3,10,0,10,5/26/2016
BHC,1,505.7,6,10,1,10,5/27/2016
BHC,1,505.7,12,10,7,10,5/27/2016
BHC,1,505.7,24,10,9,10,5/28/2016
BHC,1,505.7,48,10,10,10,5/28/2016
BHC,1,505.7,72,10,10,10,5/29/2016
BHC,1,505.7,96,10,10,10,5/29/2016
BHC,1,756.6,3,10,0,10,5/30/2016
BHC,1,756.6,6,10,9,10,5/30/2016
BHC,1,756.6,12,10,10,10,5/31/2016
BHC,1,756.6,24,10,10,10,5/31/2016
BHC,1,756.6,48,10,10,10,6/1/2016
BHC,1,756.6,72,10,10,10,6/1/2016
BHC,1,756.6,96,10,10,10,6/2/2016
BHC,1,1008,3,10,4,10,6/2/2016
BHC,1,1008,6,10,10,10,6/3/2016
BHC,1,1008,12,10,10,10,6/3/2016
BHC,1,1008,24,10,10,10,6/4/2016
BHC,1,1008,48,10,10,10,6/4/2016
BHC,1,1008,72,10,10,10,6/5/2016
BHC,1,1008,96,10,10,10,6/5/2016
BHC,2,0,3,10,0,10,6/6/2016
BHC,2,0,6,10,0,10,6/6/2016
BHC,2,0,12,10,0,10,6/7/2016
BHC,2,0,24,10,0,10,6/7/2016
BHC,2,0,48,10,0,10,6/8/2016
BHC,2,0,72,10,0,10,6/8/2016
BHC,2,0,96,10,0,10,6/9/2016
BHC,2,50.25,3,10,0,10,6/9/2016
BHC,2,50.25,6,10,0,10,6/10/2016
BHC,2,50.25,12,10,0,10,6/10/2016
BHC,2,50.25,24,10,0,10,6/11/2016
BHC,2,50.25,48,10,0,10,6/11/2016
BHC,2,50.25,72,10,0,10,6/12/2016
BHC,2,50.25,96,10,0,10,6/12/2016
BHC,2,125.5,3,10,0,10,6/13/2016
BHC,2,125.5,6,10,0,10,6/13/2016
BHC,2,125.5,12,10,0,10,6/14/2016
BHC,2,125.5,24,10,0,10,6/14/2016
BHC,2,125.5,48,10,0,10,6/15/2016
BHC,2,125.5,72,10,0,10,6/15/2016
BHC,2,125.5,96,10,0,10,6/16/2016
BHC,2,237,3,10,0,10,6/16/2016
BHC,2,237,6,10,0,10,6/17/2016
BHC,2,237,12,10,0,10,6/17/2016
BHC,2,237,24,10,1,10,6/18/2016
BHC,2,237,48,10,2,10,6/18/2016
BHC,2,237,72,10,3,10,6/19/2016
BHC,2,237,96,10,4,10,6/19/2016
BHC,2,451.5,3,10,0,10,6/20/2016
BHC,2,451.5,6,10,0,10,6/20/2016
BHC,2,451.5,12,10,3,10,6/21/2016
BHC,2,451.5,24,10,9,10,6/21/2016
BHC,2,451.5,48,10,10,10,6/22/2016
BHC,2,451.5,72,10,10,10,6/22/2016
BHC,2,451.5,96,10,10,10,6/23/2016
BHC,2,752.5,3,10,0,10,6/23/2016
BHC,2,752.5,6,10,8,10,6/24/2016
BHC,2,752.5,12,10,10,10,6/24/2016
BHC,2,752.5,24,10,10,10,6/25/2016
BHC,2,752.5,48,10,10,10,6/25/2016
BHC,2,752.5,72,10,10,10,6/26/2016
BHC,2,752.5,96,10,10,10,6/26/2016
BHC,3,0,3,10,0,10,6/27/2016
BHC,3,0,6,10,0,10,6/27/2016
BHC,3,0,12,10,0,10,6/28/2016
BHC,3,0,24,10,0,10,6/28/2016
BHC,3,0,48,10,0,10,6/29/2016
BHC,3,0,72,10,0,10,6/29/2016
BHC,3,0,96,10,0,10,6/30/2016
BHC,3,101.55,3,10,0,10,6/30/2016
BHC,3,101.55,6,10,0,10,7/1/2016
BHC,3,101.55,12,10,0,10,7/1/2016
BHC,3,101.55,24,10,0,10,7/2/2016
BHC,3,101.55,48,10,0,10,7/2/2016
BHC,3,101.55,72,10,0,10,7/3/2016
BHC,3,101.55,96,10,0,10,7/3/2016
BHC,3,203.1,3,10,0,10,7/4/2016
BHC,3,203.1,6,10,0,10,7/4/2016
BHC,3,203.1,12,10,0,10,7/5/2016
BHC,3,203.1,24,10,1,10,7/5/2016
BHC,3,203.1,48,10,3,10,7/6/2016
